Abrévation Lambert(token),lemme,Latin Weber,Livre biblique 
,,Abd,Abdias
,,Act,Actes des apôtres
,,Agg,Aggée
,,Am,Amos
Apocalyp,Apocalypsis,Apc,Apocalypse
,,Bar,Baruch
,,Ct,Cantique des cantiques
,,I Par,Chroniques 1er livre
Chron,Chronicon,II Par,Chroniques 2e livre
,,Dn,Daniel
,,Dt,Deutéronome
Ecclesiast,,Ecl,Ecclésiaste (ou Qohelet)
,,Sir,Ecclésiastique (ou Sirac)
,,Phlm,Épître à Philémon
Timot,Timotheus,I Tim,"Épître à Timothée, 1re"
Tim, Timotheus,I Tim,"Épître à Timothée, 1re"
Timot,Timotheus,II Tim,"Épître à Timothée, 2e"
Tit,Titus,Tit,Épître à Tite
Coloss,Colossenses,Col,Épître aux Colossiens
Corinth,,I Cor,"Épître aux Corinthiens, 1re"
,,II Cor,"Épître aux Corinthiens, 2e"
,,Eph,Épître aux Éphésiens
Galat,Galatae,Gal,Épître aux Galates
Hebr,Hebraei,Hbr,Épître aux Hébreux
,,Phil,Épître aux Philippiens
Romanor,Romani,Rm,Épître aux Romains
Tessalon,Thessalonicenses,I Th,"Épître aux Thessaloniciens, 1re"
Thessal, Thessalonicenses,I Th,"Épître aux Thessaloniciens, 1re"
,,II Th,"Épître aux Thessaloniciens, 2e"
,,Iac,Épître de Jacques
,,I Io,"Épître de Jean, 1re"
,,II Io,"Épître de Jean, 2e"
,,III Io,"Épître de Jean, 3e"
,,Iud,Épître de Jude
,,I Pt,"Épître de Pierre, 1re"
,,II Pt,"Épître de Pierre, 2e"
,,I Esr,Esdras
,,Est,Esther
Ioa,Ioannes,Io,Évangile de Jean
Ioan,Ioannes,Io,Évangile de Jean
Ioann,Ioannes,Io,Évangile de Jean
,,Lc,Évangile de Luc
,,Mc,Évangile de Marc
Math,Matthaeus,Mt,Évangile de Matthieu
Matth, Matthaeus, Mt, Évangile de Matthieu
Matt, Matthaeus, Mt, Évangile de Matthieu
Exod,,Ex,Exode
,,Ez,Ézéchiel
Genes,Genesis2,Gn,Genèse
,,Hab,Habacuc
Isai,Isaias,Is,Isaïe
,,Ier,Jérémie
,,Iob,Job
,,Ioel,Joël
,,Ion,Jonas
,,Ios,Josué
,,Idt,Judith
,,Idc,Juges
,,Lam,Lamentations
,,,Lettre de Jérémie
,,Lv,Lévitique
,,I Mcc,Maccabées 1er livre
Machab, Machabaei,I Mcc,Maccabées 1er livre
,,II Mcc,Maccabées 2e livre
Malach,Malachias,Mal,Malachie
Malac, Malachias,Mal,Malachie
,,Mi,Michée
,,Na,Nahum
Nehem,Nehemias,II Esr,Néhémie
Num,Numeri,Nm,Nombres
Numer,Numeri,Nm,Nombres
,,Os,Osée
,,Prv,Proverbes
,,Ps,Psaumes
,,,Qohelet(voir Ecclésiaste)
,,III Rg,"Rois, 1er Livre"
,,IV Rg,"Rois, 2e Livre"
,,Rt,Ruth
,,Sap,Sagesse
,,I Sm,Samuel 1er Livre
,,II Sm,Samuel 2e Livre
,,,Sirac(voir Ecclésiastique)
,,So,Sophonie
,,Tb,Tobie
,,Za,Zacharie
