,Zeit,Tag
2012884.xml,,
2012885.xml,,
2012886.xml,,
2012887.xml,,
2012888.xml,,
2012889.xml,,
2012890.xml,,
2012891.xml,,
2012892.xml,,
2012893.xml,,
2012894.xml,,
2012895.xml,,
2012896.xml,,
2012897.xml,,
2012898.xml,,
2012899.xml,,
2012900.xml,,
2012901.xml,,
2012902.xml,,
2012903.xml,,
2012904.xml,,
2012905.xml,,
2012906.xml,,
2012907.xml,,
2012908.xml,,
2012911.xml,,
2012912.xml,,
2012913.xml,,
2012914.xml,,
2012915.xml,,
2012916.xml,,
2012917.xml,,
2012918.xml,,
2012919.xml,,
2012920.xml,,
2012921.xml,,
2012922.xml,,
2012923.xml,,
2012924.xml,,
2012925.xml,,
2012926.xml,,
2012927.xml,,
2012928.xml,,
2012929.xml,,
2012930.xml,,
2012931.xml,,
2012932.xml,,
2012933.xml,,
2012934.xml,,
2012935.xml,,
2012936.xml,,
2012937.xml,,
2012938.xml,,
2012939.xml,,
2012940.xml,,08/07/24
2012941.xml,,
2012942.xml,,
2012943.xml,,
2012944.xml,,
2012945.xml,,
2012946.xml,,
2012947.xml,,
2012948.xml,,
2012949.xml,Fin 1. ,
2012950.xml,,
2012951.xml,,
2012952.xml,,
2012953.xml,,
2012954.xml,,
2012955.xml,,
2012956.xml,,
2012957.xml,,
2012958.xml,,
2012959.xml,,
2012960.xml,,
2012961.xml,,
2012962.xml,,
2012963.xml,,
2012964.xml,,
2012965.xml,,
2012966.xml,,
2012967.xml,,
2012968.xml,,
2012969.xml,,
2012970.xml,,
2012971.xml,,
2012972.xml,,
2012973.xml,,
2012974.xml,,
2012975.xml,,
2012976.xml,,
2012977.xml,,
2012978.xml,,
2012979.xml,,
2012980.xml,,
2012981.xml,,
2012982.xml,,
2012983.xml,,
2012984.xml,,
2012985.xml,,
2012986.xml,,
2012987.xml,,
2012988.xml,,
2012989.xml,,
2012990.xml,,
2012991.xml,,
2012992.xml,,
2012993.xml,,
2012994.xml,,
2012995.xml,,
2012996.xml,,
2012997.xml,,
2012998.xml,,
2012999.xml,,
2013000.xml,,
2013001.xml,,
2013002.xml,,
2013003.xml,,
