Abrévation Lambert (token),lemme,Latin Weber,Livre biblique
,,Abd,Abdias
,,Act,Actes des apôtres
,,Agg,Aggée
,,Am,Amos
Apocalyp,Apocalypsis,Apc,Apocalypse
,,Bar,Baruch
,,Ct,Cantique des cantiques
,,I Par,Chroniques 1er livre
,,II Par,Chroniques 2e livre
,,Dn,Daniel
,,Dt,Deutéronome
,,Ecl,Ecclésiaste (ou Qohelet)
,,Sir,Ecclésiastique (ou Sirac)
,,Phlm,Épître à Philémon
Timot,Timotheus,I Tim,"Épître à Timothée, 1re"
Timot,Timotheus,II Tim,"Épître à Timothée, 2e"
Tit,Titus,Tit,Épître à Tite
,,Col,Épître aux Colossiens
,,I Cor,"Épître aux Corinthiens, 1re"
,,II Cor,"Épître aux Corinthiens, 2e"
,,Eph,Épître aux Éphésiens
,,Gal,Épître aux Galates
,,Hbr,Épître aux Hébreux
,,Phil,Épître aux Philippiens
,,Rm,Épître aux Romains
,,I Th,"Épître aux Thessaloniciens, 1re"
,,II Th,"Épître aux Thessaloniciens, 2e"
,,Iac,Épître de Jacques
,,I Io,"Épître de Jean, 1re"
,,II Io,"Épître de Jean, 2e"
,,III Io,"Épître de Jean, 3e"
,,Iud,Épître de Jude
,,I Pt,"Épître de Pierre, 1re"
,,II Pt,"Épître de Pierre, 2e"
,,I Esr,Esdras
,,Est,Esther
,,Io,Évangile de Jean
,,Lc,Évangile de Luc
,,Mc,Évangile de Marc
,,Mt,Évangile de Matthieu
,,Ex,Exode
,,Ez,Ézéchiel
,,Gn,Genèse
,,Hab,Habacuc
,,Is,Isaïe
,,Ier,Jérémie
,,Iob,Job
,,Ioel,Joël
,,Ion,Jonas
,,Ios,Josué
,,Idt,Judith
,,Idc,Juges
,,Lam,Lamentations
,,,Lettre de Jérémie
,,Lv,Lévitique
,,I Mcc,Maccabées 1er livre
,,II Mcc,Maccabées 2e livre
Malach,Malachias,Mal,Malachie
,,Mi,Michée
,,Na,Nahum
,,II Esr,Néhémie
,,Nm,Nombres
,,Os,Osée
,,Prv,Proverbes
,,Ps,Psaumes
,,,Qohelet(voir Ecclésiaste)
,,III Rg,"Rois, 1er Livre"
,,IV Rg,"Rois, 2e Livre"
,,Rt,Ruth
,,Sap,Sagesse
,,I Sm,Samuel 1er Livre
,,II Sm,Samuel 2e Livre
,,,Sirac(voir Ecclésiastique)
,,So,Sophonie
,,Tb,Tobie
,,Za,Zacharie
