#thise are the data exported without any corrections
token	lemma	pos	morph	Dis	treated
AD	ad2	PRE	MORPH=empty	2	AD
LECTOREM.	Leltor	NOMpro	Case=Gen|Numb=Sing	_	LECTOREM
Quod	quod2	CONsub	Case=Acc|Gend=Neut	2	Quod
sæpius	saepe	ADV	Deg=Comp	_	saepius
,	,	PUNC	MORPH=empty	_	--IGN.--
Lector	Lector	VER	Case=Nom|Numb=Sing	_	Lector
optime	bene	ADJqua	Numb=Sing|Gend=Masc|Deg=Sup	_	optime
,	,	PUNC	MORPH=empty	_	--IGN.--
iuris	ius1	NOMcom	Case=Gen|Numb=Sing	1	iuris
Pontificij	pontificius	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos	_	Pontificii
canones	cano	NOMcom	Case=Nom|Numb=Plur	_	canones
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
Gratiani	Gratianus	NOMpro	Case=Gen|Numb=Sing	_	Gratiani
Decretum	decerno	NOMcom	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	_	Decretum
citauimus	cito1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	1	citauimus
,	,	PUNC	MORPH=empty	_	--IGN.--
ea	is	PROdem	Case=Abl|Numb=Sing|Gend=Fem	_	ea
solùm	solum2	ADV	Numb=Sing|Deg=Pos	2	solum
mente	mens	NOMcom	Case=Abl|Numb=Sing	_	mente
fecimus	facio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	_	fecimus
,	,	PUNC	MORPH=empty	_	--IGN.--
ut	ut4	CONsub	MORPH=empty	4	ut
ex	ex	PRE	MORPH=empty	_	ex
his	hic1	PROdem	Case=Abl|Numb=Plur|Gend=Com	1	his
tanquam	tamquam1	ADVrel	MORPH=empty	1	tanquam
ex	ex	PRE	MORPH=empty	_	ex
quadam	quidam	PROind	Case=Abl|Numb=Sing|Gend=Fem	_	quadam
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com	_	illius
temporis	tempus1	NOMcom	Case=Gen|Numb=Sing	1	temporis
